ICAO, Registration, Model, Aircraft Type
c055d6,C-GGND,DH8D,L2T
c060bc,C-GKQL,DH8D,L2T
c08565,C-GYNK,A139,H2T
c05f8f,C-GKEW,C560,L2T
aa3646,N757YX,E75L,L2J
495268,CS-TSH,A21N,L2J
c04fd7,C-GEGC,A333,L2J
c01e28,C-FLKX,A321,L2J
c058cb,C-GHQG,A321,L2J
c0635f,C-GLQK,DH8D,L2T
c05ed8,C-GJXV,BCS3,L2J
c07721,C-GTCY,A321,L2J
c2c363,330002,A332,L2J
c066f0,C-GMZN,BCS3,L2J
c043b7,C-FZQS,A320,L2J
c066dd,C-GMYU,BCS3,L2J
a2ca64,N27908,B788,L2J
c040c5,C-FYNS,A319,L2J
c058be,C-GHPT,B788,L2J
c066b6,C-GMXH,B38M,L2J
c06724,C-GNBN,BCS3,L2J
c067ae,C-GNGV,BCS3,L2J
c05efe,C-GJZH,DH8D,L2T
c0307a,C-FSJH,B38M,L2J
c01c52,C-FKSV,B789,L2J
c0481b,C-GBHY,A319,L2J
c0440e,C-FZUB,A320,L2J
c01754,C-FIVR,B77W,L2J
c01551,C-FIBW,B737,L2J
c0208a,C-FMIJ,B763,L2J
c06a9b,C-GOJQ,A21N,L2J
c01d72,C-FLDX,B38M,L2J
896326,A6-ETI,B77W,L2J
c04fbb,C-GEFA,A333,L2J
c07aa4,C-GULN,B38M,L2J
a06bcc,N126UP,A306,L2J
406b22,G-XLEI,A388,L4J
c066f4,C-GMZR,BCS3,L2J
495268,CS-TSH,A21N,L2J
c02032,C-FMEZ,B752,L2J
a6dbf3,N541DE,A21N,L2J
c03a5a,C-FWCN,B737,L2J
344304,EC-LUB,A333,L2J
c07690,C-GSXJ,FA10,L2J
c058bb,C-GHPQ,B788,L2J
c027dc,C-FPCL,PC12,L1T
a8cc46,N666UA,B763,L2J
c05ed9,C-GJXW,BCS3,L2J
c0307c,C-FSJJ,B38M,L2J
c0584f,C-GHLM,A333,L2J
c02207,C-FMXA,B38M,L2J
a8a87e,N657UA,B763,L2J
c00b78,C-FEIX,E75S,No
c062b8,C-GLJZ,CRJ9,L2J
896190,A6-EEQ,A388,L4J
a18d83,N2C,GLF6,No
c00e93,C-FFNM,B734,L2J
c0468e,C-GASR,C25A,L2J
c00b9e,C-FEKJ,E75S,No
c00b5b,C-FEHU,CL35,L2J
c06357,C-GLQC,DH8D,L2T
aad5da,N798BD,GL5T,L2J
c05108,C-GERV,RV8,No
c06312,C-GLNL,LJ35,L2J
c065ef,C-GMPQ,PC12,L1T
c056ef,C-GGXY,RV9,No
c0618f,C-GKYO,CL60,L2J
c04a51,C-GCDS,GLEX,L2J
c084b9,C-GYGU,A321,L2J
c05bd6,C-GIUF,A321,L2J
4bb182,TC-LLB,B789,L2J
